Date,003B70,10646E,1490F3,159AE4,275300,2FEA66,315EB0,37727A,420168,4FB770,51D876,56EA2B,6284B5,6B236C,6BF593,7999F3,7C4168,8EF425,900356,A4386C,A80FE0,AE4EEB,AFEC35,B5DE80,CE4FD9,DB30C3,DB7014,DC5299,F67165,FF4BA4
2023-05-23,51.5163,26.6737,82.5445,15.9343,96.9655,160.5414,657.2374,35.6791,43.9713,131.3383,76.13,104.0176,49.7708,30.2799,14.479,40.6266,219.1452,130.3421,89.822,17.9336,174.4872,55.0467,256.823,51.407,71.8249,113.1594,80.2146,97.1975,192.306,26.8997
2023-05-24,50.6506,26.2618,78.9481,15.5969,95.2143,157.709,636.8358,34.9697,41.8013,129.8927,74.51,100.7151,48.6246,29.9435,14.2638,39.1294,213.2584,129.1387,88.1226,17.4797,170.0728,53.8722,253.1515,50.3264,69.9956,110.8512,78.4645,95.2145,189.5928,26.3467
2023-05-25,50.0934,25.9787,84.1784,15.4758,96.3646,156.2607,667.094,34.5796,41.1529,128.9437,74.97,97.9497,48.8611,29.9072,14.4015,39.0837,211.645,128.8267,87.3377,17.1593,169.3031,53.7277,252.9014,49.2636,69.4204,111.7305,77.1094,94.5075,188.3,26.2085
2023-05-26,50.282,26.1932,90.2668,15.6315,95.9354,157.4157,687.7408,34.7835,41.2739,129.9991,75.57,98.4341,48.7428,30.3526,14.4445,39.1476,213.6498,130.1103,88.2952,17.3284,168.9507,53.8813,256.0994,49.9602,69.345,114.451,78.1325,95.4073,191.5412,26.0334
2023-05-30,50.5048,26.1846,91.8277,15.7007,96.3217,158.3323,692.7964,34.7569,41.9569,129.6355,75.05,99.0858,48.5791,30.5344,14.281,39.3941,211.7787,131.1444,89.2871,17.7289,168.7838,54.2246,258.0736,49.8173,68.9584,113.8647,78.3389,95.6368,195.3014,26.3375
2023-05-31,51.1764,26.5364,93.5255,15.8997,97.1801,159.4781,703.2094,35.1737,42.078,127.9504,74.92,99.9224,48.5973,30.798,14.2896,39.385,211.7214,131.0909,90.7018,17.7645,171.0466,54.9292,253.0711,50.2549,70.3539,114.0846,79.1556,95.9122,196.7126,26.4112
2023-06-01,51.0042,26.545,95.6432,15.7526,96.2787,161.9622,710.4816,35.5461,41.5419,127.1434,75.02,98.9625,48.3517,30.7707,14.4187,39.741,210.6808,130.9661,89.1923,17.9247,173.43,55.661,253.1873,50.371,70.3539,112.3351,78.7517,96.0499,199.5441,26.4762
2023-06-02,51.4003,27.1198,96.1179,16.2284,97.8582,166.0963,714.5845,36.4948,43.7811,129.5291,77.13,101.6046,50.2439,31.3525,15.1504,41.3478,215.4159,134.2999,91.8749,18.4409,177.2693,56.9981,257.618,52.0322,71.4383,114.4235,81.7941,98.8042,208.0842,26.7452
2023-06-05,51.6499,27.2914,95.6797,16.1765,96.8281,166.3805,710.3118,36.5214,42.9598,128.1012,76.05,101.6574,50.5077,31.3343,14.9869,40.7727,214.0984,134.0147,91.9094,18.3074,174.9416,57.2872,252.9371,51.7911,71.7495,114.1578,81.2197,99.7682,205.0523,26.3092
2023-06-06,51.6672,27.4115,96.1544,16.3927,96.9912,167.8104,700.078,36.8229,44.9915,127.1079,77.6,104.1145,50.6897,31.0889,15.159,41.3844,213.7357,134.6922,94.1694,18.8503,175.3775,57.757,250.1322,52.7467,74.1635,115.257,83.6249,100.8515,205.4712,26.8472
2023-06-07,52.5195,27.8834,94.5844,16.997,98.6393,170.597,696.9843,37.4524,47.101,132.5888,79.94,107.2585,51.2719,31.3253,15.2537,42.3521,217.392,138.1241,97.2144,18.9927,177.0653,58.543,260.7267,54.39,75.8325,117.2996,87.2327,103.973,210.1327,27.3482
2023-06-08,52.399,27.7547,95.3967,16.8306,99.1973,170.8629,707.6897,37.3194,46.5823,129.6178,78.63,106.1577,50.7897,31.5889,15.3484,40.8457,218.5948,136.4304,96.2146,18.6278,176.2214,58.9315,259.2528,54.1756,75.2479,114.4143,86.2544,104.0005,212.1266,27.3296
2023-06-09,52.442,27.7118,95.1594,16.9882,97.8239,172.6137,701.4551,37.7273,46.7811,128.1544,78.94,106.2017,51.0081,31.1707,15.2623,41.7404,213.9552,137.5179,97.0828,18.4142,173.6989,59.7898,256.2423,54.131,76.4737,111.1168,86.2814,103.9638,213.3193,27.5152
