Date,0157B1,034B61,067779,06EF42,143C52,1791E7,1BC12C,24D81E,34A959,385DD4,39692D,3CBA2A,40B903,4595EF,45CF4C,56CC0A,5DE5A5,5E7E82,64CEBB,66E04A,69E8E1,6E1E61,751A74,76E80F,7D5FD6,8C6C1B,8E8E6E,91C82E,954E30,972356,97693A,9BBFA5,9E91C6,A5151E,A6213D,A63820,AA7FE0,AA98ED,ACDF88,B4C673,BB0787,BDD12C,C15DB3,C29715,C9B932,CF7292,D64C6D,D69D42,D78CCD,DC2B00,DD3BB1,ECF709,F6DCE4,FC1F9D,FF4C20
2023-05-08,105.83,2601.2664,10.5613,105.5684,155.54,38.0312,32.6231,297.1423,45.27,172.7486,91.5327,99.4749,75.233,82.4433,30.3992,14.26,339.8254,63.4821,93.97,144.3199,99.89,63.1093,76.8391,193.3784,66.3778,101.7678,43.44,106.6133,276.8393,43.7584,381.86,137.311,109.3499,52.8388,10.0766,40.6568,72.75,53.0636,268.6453,128.8601,35.5909,113.8112,157.8597,5853.47,59.0779,515.73,119.8478,106.5936,20.4851,207.4697,171.79,2709.54,140.3845,45.6594,92.78
2023-05-09,106.62,2596.7724,10.6011,106.0451,155.17,37.592,32.2548,296.8538,45.42,173.7582,92.3047,99.0479,75.4538,82.8183,30.0543,14.11,337.7086,63.6486,93.37,144.4885,98.63,63.564,75.4759,196.2878,66.3288,101.0397,43.39,106.3066,276.8113,43.3796,381.44,137.3932,108.322,52.8573,9.9424,40.6532,72.53,53.2242,271.1178,129.8794,35.4428,113.0378,158.4176,5875.45,59.2394,509.09,118.1665,105.6206,20.3006,208.0449,169.15,2726.51,141.2098,45.851,92.71
2023-05-10,110.19,2607.6231,10.4419,105.8311,154.12,37.4231,32.0609,295.1706,44.66,170.4964,90.0976,99.2892,75.1838,82.6233,29.6721,14.08,337.9395,63.2719,94.91,141.2064,97.93,63.6513,75.672,193.6343,66.3974,98.9719,42.88,106.1021,276.7274,43.3891,379.32,136.2325,108.128,52.5524,9.9676,41.0968,73.41,53.5187,269.6717,130.0021,34.3783,111.0256,158.8474,5836.51,59.3818,504.51,116.6646,104.7048,19.7288,205.7533,168.54,2733.65,141.4878,46.2608,94.84
2023-05-11,112.18,2618.1288,10.193,106.2008,155.21,37.7018,32.0997,295.2091,43.6,169.3897,90.2856,98.5336,75.261,81.74,30.045,13.66,334.8797,62.7462,94.29,140.5024,97.76,63.884,74.8776,192.6676,66.7108,99.5349,42.52,105.9719,275.0665,43.3512,377.32,134.3589,103.6671,52.3398,9.9508,41.17,72.27,53.5544,268.4214,129.6246,37.2201,110.1109,156.9726,5837.83,58.0806,512.11,115.4461,105.8591,19.821,204.914,172.08,2715.2,142.5104,45.8719,96.36
2023-05-12,110.26,2592.7416,9.7849,105.6559,158.72,37.2542,31.4019,295.8343,42.67,169.0111,88.5338,98.9907,76.1576,81.7633,30.7628,13.24,325.8448,62.8426,92.69,140.3835,94.5,64.14,73.6616,192.6297,67.0144,101.4571,41.97,105.2562,276.3261,42.5274,376.2,135.7664,102.2028,52.2752,9.7832,40.9126,71.16,54.5983,271.0152,130.7288,38.1179,108.5892,156.0672,5822.41,57.1023,513.88,113.5475,107.1851,19.6365,206.0645,167.98,2729.06,141.7211,45.5115,94.68
2023-05-15,111.2,2607.7709,10.2627,106.8332,159.15,37.6173,31.3728,296.0939,44.44,170.3702,91.2853,99.4758,76.4083,81.92,31.3408,13.71,329.2221,63.6924,92.93,142.0493,96.5,63.0187,74.6521,191.0091,67.1319,101.3406,42.69,105.3212,276.1022,42.7357,375.71,138.819,102.5131,52.5893,9.758,40.9424,71.7,55.6423,269.2145,130.0399,39.8489,109.1879,154.0277,5898.82,56.9408,515.97,113.1886,108.0341,19.9778,205.6213,166.35,2706.53,144.0354,43.92,97.85
2023-05-16,113.4,2608.0173,10.3124,108.7792,158.82,36.8319,30.5684,290.3231,41.38,169.4674,91.7604,98.2072,75.4152,78.8883,30.3899,13.48,328.7105,61.9753,90.9,141.2659,94.15,62.5033,74.9855,188.801,67.9251,99.9233,41.15,105.8976,274.4693,40.7471,371.52,139.9797,99.9336,51.6191,9.4311,41.0044,69.06,55.1605,263.4204,130.9837,38.7937,106.527,151.4121,5887.48,55.4781,498.99,110.0243,104.4377,19.0001,202.6979,166.52,2673.46,141.7054,42.9278,92.65
2023-05-17,115.5,2657.6681,10.9893,109.2559,158.92,37.5075,31.4407,293.4009,43.41,171.9332,94.2496,98.5896,76.1191,78.395,31.7136,14.35,331.3747,64.7788,93.86,142.9813,96.67,62.6287,78.0552,196.3637,68.0622,100.7581,42.19,106.5204,273.8254,41.552,372.22,145.0338,105.6261,52.1113,9.6407,41.2402,71.95,55.3121,272.8066,129.5113,40.2191,109.2128,152.1438,5833.16,56.6464,503.95,110.4965,106.8417,19.0739,204.0087,173.86,2679.55,145.3629,42.6642,94.99
2023-05-18,118.15,2740.7282,11.2282,109.4408,160.68,37.989,31.8865,299.4699,44.81,175.7483,97.2634,99.8956,76.4276,78.7517,35.1162,14.53,340.96,63.9903,94.83,145.165,98.49,62.7867,78.5847,198.2212,68.6988,102.3017,42.94,107.6452,274.376,41.7793,378.7,148.1869,106.9643,52.6407,9.758,41.9174,73.13,55.3211,275.3911,130.6722,40.8486,112.6344,150.6988,5883.17,57.5962,513.61,112.2818,107.5857,19.1569,205.4233,176.89,2648.95,139.2399,43.7359,92.39
2023-05-19,116.25,2725.2358,10.8898,107.2127,160.08,38.9771,31.6539,300.5279,43.79,173.2146,95.6402,98.4217,76.5047,75.7983,34.5196,14.15,333.0736,61.7913,94.37,143.1104,96.57,63.62,78.065,195.4823,67.7488,101.6998,42.48,105.5908,275.7756,41.1733,368.53,147.5197,106.9449,51.7862,9.7664,42.1244,71.75,53.822,271.3978,130.5118,39.8026,110.7635,150.6896,5846.52,57.4537,491.05,108.3996,104.0943,17.5889,202.8299,180.14,2653.18,137.524,42.5352,89.1
2023-05-22,115.01,2656.6037,11.1685,105.1597,160.0,40.2355,31.8477,297.1135,44.64,169.5742,95.8283,95.987,75.6177,76.0333,35.5357,14.33,330.8052,61.6073,94.43,142.485,96.81,61.876,78.7809,192.5255,66.0253,101.5639,42.33,102.7184,269.9904,41.7793,363.12,147.3552,105.3703,51.229,9.7496,42.0388,72.21,53.9024,271.1925,127.3311,39.0436,110.7804,149.2264,5705.32,56.5039,480.68,104.0734,103.8081,18.0409,199.8027,188.87,2619.8,137.1899,42.2601,90.02
