Date,12E454,251988,3C7F5F,4A6F00,4A6F00_2,57DDB9,622DBE,8A8E41,9C25FF,A01664,A13375,A13375_2,A18D3C,ADF092,C8257F,C83B88,D88EF3,DB06B0,DD1BA1,DD1BA1_2,E30B34,ECD263
2023-07-13,311.2404,13.2033,16.1515,123.5101,123.805,135.3083,46.2211,29.2198,93.12,149.29,32.4247,30.3436,88.9918,13.1,89.3679,37.0522,383.62,134.8175,20.1372,19.9359,35.6455,45.038
2023-07-14,306.7318,12.6619,15.3257,124.3828,124.6679,134.337,46.6579,28.6883,94.46,150.0,31.953,29.8734,87.1721,12.4,89.2659,36.5734,375.47,135.4387,20.0292,19.8182,35.5641,44.191
2023-07-17,308.4697,11.8149,14.7495,123.6192,124.0331,132.7212,47.0655,26.5373,94.29,152.71,32.1936,30.0845,84.1621,12.31,91.0644,36.643,374.81,136.3361,20.2648,20.0045,36.4415,45.005
2023-07-18,309.8898,11.745,14.9032,122.7365,123.0612,133.154,46.5414,27.2206,97.63,153.55,32.7328,30.5836,84.5457,12.77,90.777,36.9477,387.06,136.9476,20.4317,20.1908,36.9751,47.48
2023-07-19,313.8224,12.7405,15.4025,121.0209,121.7719,132.3173,46.1337,28.6546,95.64,152.01,32.4632,30.4012,85.6179,13.28,81.3767,37.1828,388.57,134.9457,20.0194,19.7594,34.0627,47.759
2023-07-20,300.4258,12.8016,15.2681,118.2143,118.5486,134.7409,44.474,28.3762,96.82,151.64,32.521,30.4492,84.8014,13.11,81.7383,37.6181,395.45,135.2316,19.7445,19.4946,34.2979,43.742
2023-07-21,292.223,12.889,14.9032,119.0275,119.3221,135.5103,43.5228,28.5787,96.84,149.96,32.261,30.1517,85.7556,12.93,77.6963,37.3395,394.47,135.1626,19.5187,19.2691,29.7302,42.75
2023-07-24,289.5913,13.0549,14.8648,120.525,120.8793,135.9623,44.2604,28.663,97.16,150.28,31.9626,29.883,85.1851,12.61,77.0288,37.6877,399.43,135.8529,19.2143,18.9651,29.5132,42.837
2023-07-25,292.4315,12.9239,14.4999,121.1994,121.7818,137.0202,42.8627,28.8823,98.47,151.03,31.7412,29.7295,84.2309,12.53,76.5746,37.6964,398.71,137.6379,19.175,18.9161,29.0157,42.77
2023-07-26,296.5031,13.0025,14.8744,128.201,128.5954,135.693,43.6781,28.9667,97.9,150.25,31.9144,29.9118,84.4572,12.76,76.862,37.3569,394.57,136.9081,19.1161,18.8278,29.676,42.267
