Date,09F623,14BA06,164D72,16B183,2920D5,2B49F4,2D2D43,366A08,388E00,3FACA7,641F17,902670,940C3D,A43906,AA5C8E,CA212F,D0909F,D54E62,E15736,E21871,E70531,EAEBF3,FE89E0,HTA3J9,VERNOV,VISTRA
2023-06-20,51.3817,44.3957,43.9745,30.3845,195.4377,29.5453,104.6929,37.8601,22.7144,84.9271,102.1588,22.2602,28.2476,100.002,14.4322,54.7704,128.9683,139.5413,114.3248,27.6172,93.5156,66.6693,94.8563,90.5005,,24.2956
2023-06-21,51.1738,45.012,44.4398,31.0285,196.8224,29.9583,105.6932,38.3225,22.6958,84.7454,102.7664,22.4748,28.9017,100.4915,14.4149,55.0001,129.6698,140.6309,114.9551,27.7795,94.5625,67.6185,96.4088,89.0346,,24.4707
2023-06-22,50.4029,43.8623,43.5837,30.1215,193.8402,29.3483,105.1458,38.0142,22.2311,82.5014,101.634,21.7043,28.5794,98.1167,14.2849,54.0909,130.2252,138.597,113.3164,27.5541,94.0436,66.8949,94.2984,87.8049,,24.6166
2023-06-23,49.9698,43.3656,43.3511,29.5501,192.3586,28.9916,105.3534,37.7445,22.0452,82.5468,102.4718,21.4115,28.2192,96.8206,14.1376,53.6602,128.2375,137.4256,112.9112,27.5722,93.2242,65.7107,93.3966,88.8969,,24.4221
2023-06-26,50.758,43.9083,44.0676,29.9582,194.9923,29.7237,106.6746,38.7367,22.2683,83.1465,104.0278,21.6164,28.9396,99.7029,14.3282,54.7895,131.5309,139.8409,114.5499,28.0048,94.9449,67.2238,94.7528,89.1625,,24.9085
2023-06-27,51.5376,43.522,44.7934,29.7133,193.4044,30.4276,107.5617,38.862,22.5564,84.1004,106.2006,21.5675,29.3567,98.7784,14.5535,54.6747,129.4652,139.4051,114.64,28.2752,95.1816,68.314,94.2664,89.379,,25.0934
2023-06-28,52.4211,43.8623,45.2121,30.1124,196.987,30.559,108.6186,38.2936,22.7423,84.8544,106.5136,21.7919,29.5083,100.7815,14.7354,54.9905,130.1278,140.6672,115.8015,28.8611,95.9554,69.6485,95.8751,89.0838,,25.035
2023-06-29,53.2613,44.5153,45.1004,30.7654,199.5336,31.1503,109.7888,39.5363,23.3557,85.8811,107.3606,22.3676,29.7264,102.4221,14.9,56.0049,130.4298,141.8658,117.0621,29.3208,97.1389,70.6823,96.3895,89.3986,,25.3367
2023-06-30,53.4605,44.4601,45.7052,30.9922,200.6084,30.9625,110.0341,39.623,23.5137,86.6533,107.9959,22.4553,29.9633,103.7273,14.9173,56.2729,132.4663,142.8736,118.2776,29.4109,97.6397,71.5187,96.9039,90.0676,,25.541
2023-07-03,54.0495,44.9108,46.0309,30.8924,201.1506,31.5632,110.9212,39.1895,23.3929,86.9077,108.1156,22.4359,29.9539,103.9629,14.9433,56.6653,133.8888,142.7465,118.8089,29.492,97.8308,72.3739,97.4838,90.1168,,25.3853
2023-07-05,53.3479,44.6073,45.8727,31.1554,200.9473,31.1596,109.6661,38.9198,23.4114,87.3347,107.4895,22.3382,29.897,103.5913,14.796,56.359,130.995,141.9293,117.5933,29.2577,97.3301,71.8476,97.2874,90.6481,,26.1151
2023-07-06,52.7849,43.7335,45.7052,30.5205,196.5513,30.9813,106.9577,37.8408,23.0676,86.6715,104.4605,21.9872,29.9539,101.7423,14.6054,55.134,126.7564,138.8149,114.5049,29.1765,93.6977,71.4341,93.8456,89.5265,,26.2221
