Date,1151F4,147C38,2BAE5F,2CB4C9,342218,343996,58B46F,5A9A82,652E62,6DBBBC,6E7060,6ED519,789A7D,7AC86E,7B1E50,7BAAE7,977A1E,97AAF6,9C8BC3,AFD7DD,B2E6B5,B303A6,B560AF,B642E8,D9B1C9,DB5CA5,E10D31,F93C8A,FD39EB
2023-06-28,56.1157,63.3951,61.3109,67.7027,71.5968,79.187,27.039,24.0441,16.7082,133.0265,43.4553,24.7907,74.7115,99.8992,34.1343,53.928,45.1391,81.9651,17.9195,51.3097,108.9162,35.7843,56.6415,66.4114,74.1444,80.0363,59.6004,47.1277,34.4698
2023-06-29,56.1615,62.7328,61.4254,67.1219,71.7657,79.015,27.0296,24.0257,16.8663,132.5452,43.4371,24.8273,74.8409,100.1559,34.3747,53.8819,45.2789,81.4739,18.1235,51.1852,109.332,35.8021,56.9547,66.3016,75.6342,79.8386,59.7747,47.1186,35.0449
2023-06-30,56.9678,63.7399,62.4826,68.4033,72.4147,79.9115,27.4343,24.2827,17.0738,134.6966,44.1813,24.9918,75.4692,100.8618,34.6151,54.1956,45.2526,82.2288,18.3896,51.95,109.9368,36.3645,57.6638,66.6219,76.4881,80.6112,60.5419,47.7463,35.2524
2023-07-03,57.7101,64.0303,62.5972,68.5693,72.6636,80.8896,27.7166,24.4754,17.0738,135.8478,44.5307,25.0557,76.5596,101.9894,34.7397,55.1642,45.9691,82.8201,18.6912,52.2879,110.844,36.6412,57.9033,66.9818,77.5055,81.4915,60.8767,48.2922,35.4692
2023-07-05,58.4523,65.0374,63.117,69.0947,73.4992,81.8224,27.8861,24.5213,17.6073,136.631,44.9935,25.4761,77.3821,103.1354,35.2027,55.5516,46.3885,84.4574,19.0283,53.1327,112.063,37.025,58.6217,67.4616,77.9416,82.2909,61.8812,48.7471,36.1575
2023-07-06,58.4248,64.2299,62.8879,67.3155,72.9391,81.4873,27.7261,24.3745,17.3208,134.3852,44.8211,25.339,76.957,101.9161,34.8109,55.3763,45.742,83.8389,18.7179,52.9993,111.0707,36.6501,57.9585,66.5342,77.5146,81.3477,61.1763,48.5015,35.6389
2023-07-07,57.6642,64.1301,62.4033,66.4213,72.8236,80.5817,27.7449,24.0533,17.1923,133.102,44.2221,25.1471,76.0144,100.8343,34.5171,54.7029,45.6458,83.7115,18.709,52.1901,110.8534,36.5608,57.5994,66.4973,76.5699,80.6381,60.674,47.8828,35.9406
2023-07-10,57.4077,63.6401,62.0069,66.1079,72.3435,80.156,27.7261,23.8238,17.1429,132.6679,43.723,24.8638,75.8666,100.3851,34.3391,54.2878,45.0692,83.1294,18.6469,51.6032,111.1085,36.5787,57.2586,66.645,76.6153,80.1441,60.1894,47.346,35.6672
2023-07-11,57.8383,64.1754,62.8703,66.5504,73.0458,81.0435,28.1213,24.1359,17.469,134.489,44.2857,25.1836,77.0864,101.6227,34.6507,55.0811,45.4274,84.1754,18.984,52.4035,111.959,37.2303,57.9862,67.7938,78.1414,81.6352,61.1322,48.1739,35.8181
2023-07-12,58.4523,64.9557,63.8042,67.7304,74.0859,82.2389,28.5731,24.4938,17.963,137.2349,44.6169,25.6497,78.1491,103.4196,35.1225,56.1051,46.039,84.6757,19.1525,53.4884,113.745,37.5338,58.6769,68.6196,79.2497,82.9646,62.0838,48.9927,35.7332
