Date,013528,063384,14C7B2,14ED2B,1D1B07,2B7A40,2BA977,2E61CC,2F98A5,3DE4D1,543900,5CC29D,713810,719477,789ADD,78F9ED,7A10FF,859D62,95DC1F,9AF3DC,9CA619,9D2790,9D56F2,9F03CF,AD1ACF,B8EF97,C356AC,C4A432,CA1620,D09938,E61E5B,EB6965,FA40E2,FACF19,KENVUE
2023-05-10,175.5218,83.1401,30.1299,190.6691,214.1198,68.6735,36.9469,143.5618,141.7346,127.6943,49.4749,105.2597,49.4022,154.442,92.8768,58.4421,72.2086,61.5084,45.9828,60.1849,80.0835,67.9896,83.3813,253.8056,42.5981,480.7559,34.7695,36.146,83.9198,59.11,62.219,76.485,32.0375,27.5865,23.4877
2023-05-11,176.4886,83.4928,29.982,191.2378,212.8702,68.9127,36.7298,143.8973,141.7616,127.9347,49.575,106.6176,49.5868,155.1018,93.0409,58.043,72.6443,61.4988,46.0202,60.3128,80.7004,68.2397,83.8403,254.4167,44.4541,482.9015,34.7439,36.2902,83.8669,59.28,62.8579,76.9848,31.8195,27.2198,23.264
2023-05-12,177.1933,83.799,30.2039,188.7358,215.5965,69.3544,36.7298,145.3606,142.4462,128.7984,49.4567,107.7681,49.5706,154.9919,93.7669,58.2698,72.1994,61.5467,46.2837,60.4067,81.0134,69.1476,84.5615,254.2315,44.0307,484.999,34.7524,36.2451,83.9375,59.54,62.4574,77.3149,32.0375,27.1323,23.7114
2023-05-15,175.5218,85.3673,29.9173,190.6691,218.0388,69.98,36.6413,145.4072,140.0683,128.0861,48.5464,107.4004,49.1852,153.0857,93.0505,57.771,72.0603,61.5372,46.1802,59.8181,80.7272,68.9716,85.0954,250.4169,44.5713,483.0458,34.3336,35.6867,83.8316,59.72,63.0486,76.4661,31.8544,27.5078,24.6062
2023-05-16,174.7629,82.6947,29.455,184.7554,214.5931,67.7032,36.2633,145.1556,139.5279,128.8073,48.2642,107.1646,48.5051,154.8819,92.6149,57.3084,72.1252,60.3401,46.0484,59.2891,80.7004,68.0173,84.0182,249.278,44.328,477.3787,33.3336,35.1552,82.8256,59.94,63.5921,76.1738,31.7672,27.377,24.1856
2023-05-17,173.5251,83.2329,29.6954,186.7646,218.408,67.6106,36.4644,144.5404,139.3478,128.9765,48.7739,107.1457,48.4242,153.0216,91.763,56.3471,71.5968,60.6178,46.3496,58.9991,80.3338,67.9062,83.1565,247.6762,45.1569,476.2722,33.2567,35.4435,82.4991,59.65,63.2107,75.9286,31.9852,27.9795,24.3556
2023-05-18,173.0734,83.0086,29.4643,189.3992,219.7617,67.37,36.2472,142.1637,136.7988,128.0415,48.1094,107.3532,49.0524,152.2243,91.521,56.1204,71.6338,60.5029,46.4249,58.9053,79.1268,67.8043,82.9692,248.0294,45.0218,479.2549,33.2567,35.3714,81.7137,59.85,62.6958,75.1552,31.2093,27.8908,24.1946
2023-05-19,173.3263,84.532,29.4273,189.4276,222.7342,67.7772,36.4322,142.7602,136.8078,129.1367,47.9547,107.9567,48.5472,152.4534,91.9954,56.7824,71.4392,61.0009,46.7166,59.1441,78.349,67.7487,83.2876,247.2858,45.0127,477.7347,33.3935,35.4345,82.2344,59.68,62.7053,75.3816,31.2442,27.7312,24.3646
2023-05-22,168.6282,84.5507,29.5013,187.6175,222.8951,67.9716,36.1346,139.0228,134.8082,125.2813,46.9624,105.3823,48.1198,149.2093,91.763,56.6373,70.336,61.6138,47.0366,58.2996,76.6234,66.5166,82.1636,244.3486,45.1479,473.2606,33.1114,35.0291,82.1285,59.12,61.7232,73.9481,30.8519,27.6515,23.3266
2023-05-23,168.1132,85.803,29.6029,181.7228,223.3211,69.4617,36.1346,137.5222,134.565,123.3847,47.2173,103.6094,48.0291,146.8542,90.9208,55.8846,70.132,60.3114,46.2084,58.4617,76.4177,65.5901,81.7609,243.921,46.5534,466.5254,33.0687,35.2183,82.0137,57.94,61.3608,72.656,30.7037,28.015,23.264
