Date,188394,20BEEA,263A36,370C50,39FB23,3FB145,408089,485445,523A06,57B174,61E975,662682,8E0E32,911AB8,93F9E0,986AF6,9A602D,9C5BA5,9D6A24,B6082A,BB992A,C87ECC,D4070C,D4463B,D6534D,DA48E4,DF8855,FEE4B0
2023-05-31,92.777,88.2483,341.2965,100.5635,123.363,51.9852,222.3603,72.3383,41.1019,191.5633,57.6795,153.2077,26.1337,38.1825,26.7501,126.8438,160.3713,29.5166,26.6662,115.0369,185.4872,70.7706,69.2424,33.06,391.8391,252.5078,8.6708,49.7749
2023-06-01,92.9642,88.5076,344.3087,102.5744,126.8302,52.3448,229.3011,71.6925,41.2872,194.7968,56.4886,151.4107,25.894,39.9904,26.8496,127.7755,164.3259,29.2857,26.1997,115.7789,187.4136,71.6972,69.8352,34.1479,398.1,256.2888,8.7428,50.2321
2023-06-02,95.4423,93.8274,349.1321,110.8789,131.1525,54.3468,235.0998,74.9214,43.4864,198.6477,58.9924,158.1521,26.9681,39.6326,28.8124,135.7092,168.1931,30.5509,27.4754,118.7932,199.7009,74.3943,74.1645,35.8038,408.6136,263.6724,8.9676,52.9661
2023-06-05,95.7721,93.7986,351.3985,110.0958,129.5927,54.619,234.026,74.5284,43.3937,198.1676,59.8832,157.8573,26.8793,39.4725,28.4939,135.373,168.4846,30.6987,27.2279,117.9307,197.6019,74.2288,73.8501,35.6594,410.5726,262.4903,8.9946,52.6644
2023-06-06,98.2413,95.3543,348.425,111.6523,130.8142,55.999,234.5824,75.6889,44.3122,199.0299,62.5557,160.0645,27.3676,39.5384,28.2829,137.8415,168.2709,31.9547,27.8562,120.1752,204.2535,73.6332,74.0747,36.3333,411.5866,261.2894,8.9946,53.1509
2023-06-07,99.3466,97.342,350.8948,113.8566,133.2854,56.4558,235.0315,75.9978,45.3907,200.8622,64.1592,164.2496,28.5216,39.4537,28.2789,142.0869,170.2822,33.5063,28.9225,123.2174,209.7262,76.3137,75.2244,36.1696,416.745,264.9671,9.0936,51.4483
2023-06-08,98.0184,96.3721,350.8173,111.7974,132.6465,56.2031,237.4622,74.6407,44.4723,202.0282,63.1652,158.851,28.1843,39.5855,28.044,141.04,171.9631,32.2595,28.3703,121.3346,210.4929,74.8411,72.2334,36.4296,418.7729,265.8678,9.0666,51.7791
2023-06-09,94.1586,95.2774,349.4129,109.8541,131.2371,54.8522,235.0315,73.2274,43.596,202.479,63.7372,155.287,28.1221,39.0394,27.7374,139.801,172.449,32.398,28.1894,121.316,211.3363,73.6497,72.2873,36.4777,420.6039,261.3738,9.0036,51.1564
2023-06-12,93.6862,97.0347,350.6236,110.5696,131.5377,55.3965,239.0827,72.8624,43.6465,201.7441,63.8685,158.3637,27.8114,39.5855,27.7573,142.6152,173.955,32.8044,27.8467,121.3531,209.4674,73.6745,72.4939,36.4103,416.5678,261.6928,9.0216,51.8569
2023-06-13,94.3191,102.8443,361.5198,113.6632,132.7874,56.0768,241.3085,74.5939,44.7756,203.5176,65.1251,160.762,28.0067,39.9621,28.1754,148.2726,176.3259,33.4878,28.2656,122.3919,219.3393,75.0727,74.0477,38.3358,420.6531,267.247,9.1385,52.8493
