date,status,status_code,objective,V,best_bound,mip_gap,solve_time_s,n_iterations,n_nodes,n_lazy_calls,n_lazy_cuts,cplex_cuts,n_variables,n_constraints
2024-05-15,integer optimal solution,101,6.956285222866754e-05,6.956285222866754e-05,6.956285222866754e-05,0.0,1.4777519702911377,203,0,228,227,227,707,401
2024-05-16,integer optimal solution,101,6.953725066455524e-05,6.953725066455524e-05,6.953725066455524e-05,0.0,2.6120758056640625,208,0,379,378,378,707,401
2024-05-17,integer optimal solution,101,6.945281750528307e-05,6.945281750528307e-05,6.945281750528307e-05,0.0,1.7827730178833008,205,0,272,271,271,707,401
2024-05-20,integer optimal solution,101,6.942942356167365e-05,6.942942356167365e-05,6.942942356167365e-05,0.0,2.337332010269165,207,0,343,342,342,707,401
2024-05-21,integer optimal solution,101,6.943326155308682e-05,6.943326155308682e-05,6.943326155308682e-05,0.0,2.838301181793213,205,0,416,415,415,707,401
2024-05-22,integer optimal solution,101,6.934488285336416e-05,6.934488285336416e-05,6.934488285336416e-05,0.0,1.2380011081695557,203,0,199,198,198,707,401
2024-05-23,integer optimal solution,101,6.914531077010892e-05,6.914531077010892e-05,6.914531077010892e-05,0.0,2.6235620975494385,205,0,391,390,390,707,401
2024-05-24,integer optimal solution,101,6.905059977602062e-05,6.905059977602062e-05,6.905059977602062e-05,0.0,1.674311876296997,209,0,268,267,267,707,401
2024-05-28,integer optimal solution,101,6.878843801818148e-05,6.878843801818148e-05,6.878843801818148e-05,0.0,2.1795670986175537,206,0,334,333,333,707,401
2024-05-29,integer optimal solution,101,6.826050511309901e-05,6.826050511309901e-05,6.826050511309901e-05,0.0,3.82728910446167,212,0,541,540,540,707,401
2024-05-30,integer optimal solution,101,6.851029497054038e-05,6.851029497054038e-05,6.851029497054038e-05,0.0,3.1597299575805664,208,0,453,452,452,707,401
2024-05-31,integer optimal solution,101,6.908618852060262e-05,6.908618852060262e-05,6.908618852060262e-05,0.0,1.3240509033203125,207,0,212,211,211,707,401
