"date","asset","adjClose"
"2024-04-09","003B70",49.1197
"2024-04-10","003B70",47.0964
"2024-04-11","003B70",47.1867
"2024-04-12","003B70",46.988
"2024-04-15","003B70",46.6538
"2024-04-16","003B70",45.886
"2024-04-17","003B70",46.3196
"2024-04-18","003B70",46.997
"2024-04-19","003B70",47.9093
"2024-04-22","003B70",48.1713
"2024-04-23","003B70",48.2255
"2024-04-24","003B70",48.4784
"2024-04-25","003B70",48.5958
"2024-04-26","003B70",48.5145
"2024-04-29","003B70",49.0565
"2024-04-30","003B70",48.5936
"2024-05-01","003B70",48.9385
"2024-05-02","003B70",49.837
"2024-05-03","003B70",50.1547
"2024-05-06","003B70",50.3272
"2024-05-07","003B70",49.9369
"2024-05-08","003B70",49.7281
"2024-05-09","003B70",49.5829
"2024-05-10","003B70",49.9278
"2024-05-13","003B70",49.8824
"2024-05-14","003B70",49.8007
"2024-05-15","003B70",50.0186
"2024-05-16","003B70",50.0912
"2024-05-17","003B70",50.0367
"2024-05-20","003B70",49.9006
"2024-05-21","003B70",49.9913
"2024-05-22","003B70",48.757
"2024-05-23","003B70",47.4772
"2024-05-24","003B70",47.3593
"2024-05-28","003B70",46.8056
"2024-05-29","003B70",46.4426
"2024-05-30","003B70",46.969
"2024-05-31","003B70",48.158
"2023-03-01","013528",153.7566
"2023-03-02","013528",156.5936
"2023-03-03","013528",156.44
"2023-03-06","013528",156.7562
"2023-03-07","013528",155.9792
"2023-03-08","013528",156.4039
"2023-03-09","013528",155.2203
"2023-03-10","013528",155.4281
"2023-03-13","013528",156.946
"2023-03-14","013528",156.7834
"2023-03-15","013528",159.5842
"2023-03-16","013528",159.4758
"2023-03-17","013528",158.2289
"2023-03-20","013528",160.4515
"2023-03-21","013528",160.831
"2023-03-22","013528",159.4758
"2023-03-23","013528",158.6988
"2023-03-24","013528",161.8068
"2023-03-27","013528",162.1682
"2023-03-28","013528",162.114
"2023-03-29","013528",163.2343
"2023-03-30","013528",163.3789
"2023-03-31","013528",164.707
"2023-04-03","013528",164.8877
"2023-04-04","013528",164.3004
"2023-04-05","013528",165.9177
"2023-04-06","013528",166.5682
"2023-04-10","013528",165.5201
"2023-04-11","013528",165.2672
"2023-04-12","013528",164.9419
"2023-04-13","013528",166.5863
"2023-04-14","013528",165.8002
"2023-04-17","013528",166.6495
"2023-04-18","013528",166.9928
"2023-04-19","013528",166.8935
"2023-04-20","013528",167.4446
"2023-04-21","013528",167.5169
"2023-04-24","013528",167.5982
"2023-04-25","013528",171.4019
"2023-04-26","013528",170.3448
"2023-04-27","013528",171.3838
"2023-04-28","013528",172.468
"2023-05-01","013528",173.1818
"2023-05-02","013528",173.6968
"2023-05-03","013528",173.6335
"2023-05-04","013528",174.7177
"2023-05-05","013528",175.5218
"2023-05-08","013528",174.6906
"2023-05-09","013528",175.4044
"2023-05-10","013528",175.5218
"2023-05-11","013528",176.4886
"2023-05-12","013528",177.1933
"2023-05-15","013528",175.5218
"2023-05-16","013528",174.7629
"2023-05-17","013528",173.5251
"2023-05-18","013528",173.0734
"2023-05-19","013528",173.3263
"2023-05-22","013528",168.6282
"2023-05-23","013528",168.1132
"2023-05-24","013528",167.047
"2023-05-25","013528",166.0622
"2023-05-26","013528",165.8635
"2023-05-30","013528",164.4992
"2023-05-31","013528",164.7522
"2023-06-01","013528",165.7621
"2023-06-02","013528",167.4635
"2023-06-05","013528",167.5817
"2023-06-06","013528",165.1889
"2023-06-07","013528",163.8696
