date,0157B1,03B8CF,55018,61366,0624BE,063384,067779,06EF42,07EC43,095294
2004-05-14,2.1474,38.1884,48.2832,110.6899,23.6071,22.5469,27.2856,15167,4.6762,32.2098
2004-05-17,2.0991,37.9195,47.4179,120.3499,23.2616,22.1595,26.6354,15.0537,4.5348,31.8347
2004-05-18,2.0946,37874,48.1879,112.53,23.6071,22011,26.7947,15.1217,4.7886,34.3958
2004-05-19,2.0796,37.5049,48.4005,107.69,23.3091,22.1401,26.7018,14.6967,4.7763,34.1593
2004-05-20,2.0442,37.4548,49.0459,104.53,22.9094,22082,26.7349,14.5551,4.7507,34.4693
2004-05-21,2.0537,37.7828,49.2586,100.08,23.2552,22.1014,27133,14.8157,4.8097,34.1675
2004-05-24,2.0766,37.6142,49.3906,98.5,23.7156,21.9981,27405,15.4729,4.9188,34.5263
2004-05-25,2.1759,38.1109,50.7839,105.32,24.4811,22.9149,27.7499,16.4588,5.0847,34.8199
2004-05-26,2.2293,38.2749,50.6152,109.51,24.4541,23567,27.8826,16.2038,5.1092,34.9669
2004-05-27,2.3754,38.7078,51.3266,103.02,24.4337,23.4379,28347,16.5777,5.0702,35.0645
2004-05-28,2.4193,38.5301,51.3779,94.4201,24.6776,23.9803,28.2674,16.3738,5147,35.5539
2004-06-01,2.5056,38.6531,50.8792,95.25,24.6575,23.8899,28.0949,16.3511,5.1348,35.2195
2004-06-02,2.5116,39.0085,51.0919,91.55,24.6912,23.9674,27.8428,16.4021,5.1548,34.7872
2004-06-03,2.4642,38.6258,50.0946,87.54,25.1248,23.5412,27.6106,15.9885,4.9222,34.1755
2004-06-04,2.5415,38.6668,51.2312,81.87,24.7253,23.5864,27.9423,16.2265,5.0157,34.6242
2004-06-07,2.5819,38.8126,52.6979,85.05,25.1522,23.9286,28.4532,17.15,5.1092,34.9992
2004-06-08,2.5909,39.2455,52.3899,94.01,25.3213,23.8576,28.7052,16.5891,5.1192,35.1052
