0157B1,03B8CF,055018,061366,0624BE,063384,067779,06EF42,07EC43,095294
128.4,67.4386,89.5441,151.97,-60.66,97.4464,11.3377,98.7049,63.3928,-20.58
125.17,67.0436,87.1582,150.77,-60.9,95.5191,10.9794,98.1394,63.6834,-20.33
126.56,66.3077,87.3031,151.32,-59.97,95.3687,11.3278,99.5629,62.9859,-19.5
128.56,69.809,86.1633,155.9,-62.35,94.6917,11.3974,99.2119,63.1118,-19.89
121.39,69.2435,85.9411,151.36,-61.58,96.0644,11.2183,98.1394,62.085,-19.47
119.57,68.6703,86.4627,151.15,-59.85,100.013,11.3178,99.1046,61.436,-19.66
127.74,67.795,94.4125,143.26,-58.72,99.1104,11.0789,99.1534,61.3197,-19.55
132.71,69.3442,97.1172,136.32,-59.61,100.0882,11.3477,99.5726,61.7556,-19.67
133.09,70.4519,97.8417,142.45,-60.82,99.6369,11.4074,101.7858,62.4531,-20.17
137.0,70.1498,96.8564,142.84,-62.13,99.7121,11.2481,106.5631,62.9278,-20.29
138.07,71.5054,101.0873,147.59,-63.31,99.1575,11.8454,111.1746,61.6588,-22.31
138.6,72.7061,102.7004,151.94,-65.5,99.7121,12.4924,115.8837,64.1968,-22.3
139.74,72.4427,101.8601,146.97,-66.27,99.1104,12.2037,114.7722,64.2065,-22.11
142.71,72.1561,101.435,144.33,-67.81,98.3583,12.5024,118.1358,63.7124,-21.8
142.08,71.5132,101.5027,137.83,-67.92,96.6097,12.7313,118.7598,63.4703,-21.8
140.6,71.0329,100.9327,132.53,-66.75,97.6532,12.2535,117.6581,62.6275,-21.54
143.56,71.8927,101.6031,133.92,-66.97,98.2737,12.7014,119.6275,63.8868,-21.86
142.59,71.7998,101.3991,133.84,-66.39,97.8506,12.7213,119.257,63.6253,-21.66
145.8,73.5659,103.9639,149.14,-68.68,99.8438,13.8262,125.6723,65.2721,-22.6
143.2,74.999,102.9827,152.42,-69.8,100.3984,14.5031,124.6973,66.2698,-22.93
142.83,75.3058,102.0209,154.51,-68.98,100.2092,14.742,124.4341,66.3377,-22.49
145.18,75.0147,104.6149,155.02,-73.57,101.0323,14.7221,124.8533,67.3548,-22.74
146.13,74.7314,104.0999,159.29,-72.29,101.8837,14.5031,125.4787,67.8996,-23.0
143.9,73.9525,102.7689,158.6,-74.03,102.3567,14.1348,123.8663,68.3373,-22.95
146.71,75.0383,103.7308,159.72,-72.81,103.6243,14.4036,124.1301,68.9502,-23.06
146.74,75.4946,103.5365,154.38,-73.31,102.1769,14.3439,124.5797,69.2323,-23.07
147.73,76.3759,103.1576,154.65,-76.4,101.7323,14.5529,123.3972,68.8432,-23.08
147.03,77.5089,105.4892,155.02,-77.73,102.5553,14.5628,123.0943,69.3587,-23.04
146.32,77.4774,106.9951,155.43,-76.13,102.2621,14.8416,124.3647,68.2108,-23.33
146.09,77.9495,108.4816,157.78,-75.89,103.9365,14.9909,124.7654,68.4638,-23.13
